,Gray Whales,Fin Whales,Humpback Whales,Blue Whales,Minke Whales,False Killer Whales,Orca Whales,Sei Whales,Temp
Day 1,2,0,0,0,0,0,0,0,4.8
Day 2,0,0,0,0,0,0,0,0,4.8
Day 3,0,0,0,0,0,0,0,0,4.8
Day 4,0,0,0,0,0,0,0,0,4.8
Day 5,0,0,0,0,0,0,0,0,4.7
Day 6,0,0,0,0,0,0,0,0,4.7
Day 7,0,0,0,0,0,0,0,0,4.7
Day 8,0,0,0,0,0,0,0,0,4.4
Day 9,0,0,0,0,0,0,0,0,4.3
Day 10,0,0,0,0,0,0,0,0,4.4
Day 11,0,0,0,0,0,0,0,0,4.5
Day 12,0,0,0,0,0,0,0,0,4.7
Day 13,0,0,0,0,0,0,0,0,4.7
Day 14,1,0,0,0,0,0,0,0,4.7
Day 15,4,0,0,0,0,0,0,0,4.7
Day 16,1,0,0,0,0,0,0,0,4.7
Day 17,0,0,0,0,0,0,0,0,4.7
Day 18,1,0,0,0,0,0,0,0,4.7
Day 19,7,0,0,0,0,0,0,0,4.7
Day 20,2,0,0,0,0,0,0,0,4.8
Day 21,1,0,0,0,0,0,0,0,4.7
Day 22,1,0,0,0,0,0,0,0,4.7
Day 23,1,0,0,0,0,0,0,0,4.7
Day 24,3,0,0,0,0,0,0,0,4.7
Day 25,6,0,0,0,0,0,0,0,4.7
Day 26,3,0,0,0,0,0,0,0,4.7
Day 27,0,0,0,0,0,0,0,0,4.7
Day 28,1,0,0,0,0,0,0,0,4.7
Day 29,3,0,0,0,0,0,0,0,4.7
Day 30,1,0,0,0,0,0,0,0,4.8
Day 31,2,0,0,0,0,0,0,0,4.8
Day 32,3,0,0,0,0,0,0,0,4.8
Day 33,2,0,0,0,0,0,0,0,4.8
Day 34,2,0,0,0,0,0,0,0,4.7
Day 35,5,0,0,0,0,0,0,0,4.5
Day 36,4,0,0,0,0,0,0,0,4.7
Day 37,3,0,0,0,0,0,0,0,4.7
Day 38,2,0,0,0,0,0,0,0,4.7
Day 39,1,0,0,0,0,0,0,0,4.7
Day 40,4,0,0,0,0,0,0,0,4.7
Day 41,4,0,0,0,0,0,0,0,4.7
Day 42,3,0,0,0,0,0,0,0,4.3
Day 43,3,0,0,0,0,0,0,0,4.4
Day 44,3,0,0,0,0,0,0,0,4
Day 45,0,0,0,0,0,0,35,0,4.3
Day 46,2,0,0,0,0,0,0,0,4.4
Day 47,1,0,0,0,0,0,0,0,4.4
Day 48,4,0,0,0,0,0,0,0,4.4
Day 49,3,0,0,0,0,0,0,0,4.4
Day 50,3,0,0,0,0,0,0,0,4.4
Day 51,2,0,0,0,0,0,0,0,4.4
Day 52,2,0,0,0,0,0,0,0,4.5
Day 53,2,0,0,0,0,0,0,0,4.4
Day 54,2,0,0,0,0,0,0,0,4.4
Day 55,3,0,0,0,0,0,0,0,4.4
Day 56,4,0,0,0,0,0,0,0,4.4
Day 57,4,0,0,0,0,0,0,0,4.4
Day 58,9,0,0,0,0,0,0,0,4.4
Day 59,0,0,0,0,0,0,0,0,4.7
Day 61,2,0,0,0,0,0,0,0,4.4
Day 62,4,0,0,0,0,0,0,0,4.7
Day 63,5,0,0,0,0,0,0,0,4.7
Day 64,5,0,0,0,0,0,0,0,4.4
Day 65,5,0,0,0,0,0,0,0,4.5
Day 66,4,0,0,0,0,0,0,0,4.4
Day 67,5,0,0,0,0,0,0,0,4.4
Day 68,4,0,0,0,0,0,0,0,4.7
Day 69,4,0,0,0,0,0,0,0,4.7
Day 70,5,0,0,0,0,0,0,0,4.5
Day 71,12,0,0,0,0,0,0,0,4.7
Day 72,7,0,0,0,0,0,0,0,4.7
Day 73,14,0,0,0,0,0,0,0,4.7
Day 74,8,0,0,0,0,0,0,0,4.7
Day 75,5,0,0,0,0,0,0,0,4.7
Day 76,2,0,0,0,0,0,0,0,4.7
Day 77,1,0,0,0,0,0,0,0,4.7
Day 78,1,0,0,0,0,0,0,0,4.7
Day 79,3,0,0,0,0,0,0,0,4.7
Day 80,5,0,0,0,0,0,0,0,4.5
Day 81,0,0,0,0,0,0,0,0,4.7
Day 82,1,0,2,0,0,0,0,0,4.4
Day 83,1,0,0,0,0,0,0,0,4.4
Day 84,4,0,0,0,0,0,0,0,4.7
Day 85,8,0,0,0,0,0,0,0,4.7
Day 86,4,0,0,0,0,0,0,0,4.2
Day 87,2,0,0,0,0,0,0,0,4.4
Day 88,0,0,0,0,0,0,0,0,4.7
Day 89,1,0,0,0,0,0,0,0,4.4
Day 90,2,0,0,0,0,0,0,0,4.3
Day 91,0,0,0,0,0,0,0,0,4.3
Day 92,6,0,0,0,0,0,0,0,4.3
Day 93,2,0,0,0,0,0,0,0,4.3
Day 94,3,0,0,0,0,0,0,0,4.1
Day 95,2,0,0,0,0,0,0,0,4.7
Day 96,2,0,0,0,0,0,0,0,4.4
Day 97,4,0,0,0,0,0,0,0,4.4
Day 98,2,0,0,0,0,0,0,0,4.3
Day 99,3,0,0,0,0,0,0,0,4.4
Day 100,2,0,0,0,0,0,0,0,4.4
Day 101,2,0,0,0,0,0,0,0,4.3
Day 102,2,0,0,0,0,0,0,0,4.3
Day 103,3,0,0,0,0,0,0,0,4.3
Day 104,1,0,0,0,0,0,0,0,4.4
Day 105,0,0,0,0,0,0,0,0,4.4
Day 106,2,0,0,0,0,0,0,0,4.4
Day 107,4,0,0,0,0,0,0,0,4.7
Day 108,2,0,0,0,0,0,0,0,4.8
Day 109,2,0,0,0,0,0,0,0,4.3
Day 110,0,0,0,0,0,0,0,0,4.5
Day 111,0,0,0,0,0,0,0,0,4.6
Day 112,0,0,0,0,0,0,0,0,4.8
Day 113,2,0,0,0,0,0,0,0,4.4
Day 114,4,0,0,0,0,0,0,0,4.7
Day 115,0,0,0,0,0,0,0,0,4.4
Day 116,1,0,0,0,0,0,0,0,5.1
Day 117,2,0,0,0,0,0,0,0,4.8
Day 118,1,0,0,0,0,0,0,0,5.1
Day 119,1,0,0,0,0,0,0,0,4.4
Day 120,0,0,0,0,0,0,0,0,4.7
Day 121,0,0,0,0,0,0,0,0,5.1
Day 122,0,0,0,0,0,0,0,0,4.8
Day 123,0,0,0,0,0,0,0,0,5.1
Day 124,0,0,0,0,0,0,0,0,5.1
Day 125,0,4,0,0,0,0,0,0,5.1
Day 126,2,0,0,0,0,87,0,0,4.8
Day 127,0,2,0,0,0,0,0,0,5.2
Day 128,0,0,0,0,0,0,0,0,4.7
Day 129,0,0,0,0,0,0,0,0,6.3
Day 130,0,0,0,0,0,0,0,0,5.9
Day 131,0,0,0,0,0,0,0,0,5.8
Day 132,0,0,0,0,0,0,0,0,5.8
Day 133,0,0,0,0,0,0,0,0,5.6
Day 134,0,0,0,0,0,0,0,0,5.8
Day 135,0,0,0,0,0,0,0,0,5.9
Day 136,0,0,0,0,0,0,0,0,6.3
Day 137,0,0,0,0,0,0,0,0,6.6
